,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
8,gomez,iso,kuw,1.2,1.0,40.06403627091121,0.00020287814525268348,7.031612348302712,0.11465843521963026,16.4,197.4,276.9,206.1,-87.7497182916775,9.771663886332356e-05,0.3519336357363159,0.029375577930541116,241.0,342.9,361.0,786.6,456.0,691.2
9,gomez,iso,kuw,0.8,1.05,39.99361125637541,0.0001876565994490311,14.562905664884743,0.15172872969584736,16.5,216.2,299.7,224.1,-87.70921450696237,0.0001037392041824177,1.5724486663588109,0.05223041212237022,242.6,342.0,386.6,836.7,514.9,789.8
10,gomez,iso,kuw,1.0,1.05,39.99361123620087,0.00018765664251864752,14.577277398471438,0.15172869641564665,16.5,216.2,298.4,224.1,-87.70921447201505,0.00010373920818287599,1.5692653442104643,0.052230419229483,242.6,342.0,386.6,836.7,513.4,788.5
11,gomez,iso,kuw,1.2,1.05,39.993610898657515,0.00018765667456333387,14.586398734609862,0.15172867958308703,16.5,216.2,297.6,224.1,-87.70921444512919,0.00010373922037743186,1.5672619644605668,0.052230432253685684,242.6,342.0,386.6,836.7,512.4,787.6
12,gomez,iso,kuw,0.8,1.1,39.90771233562009,0.0001735490026697535,35.052989593801804,0.22328095422924327,16.6,230.2,323.8,237.3,-87.64598772305368,0.00011261695785150684,9.435510004050947,0.10868658108775767,244.2,341.0,411.8,872.0,597.7,886.2
13,gomez,iso,kuw,1.0,1.1,39.907713200318774,0.00017354910766017844,35.07510338370103,0.2232808850566201,16.6,230.2,322.7,237.3,-87.64598769300822,0.00011261696143397455,9.422063091896337,0.10868662063932064,244.2,341.0,411.8,872.0,596.4,885.3
14,gomez,iso,kuw,1.2,1.1,39.90771313811488,0.00017354917697446324,35.089272745508104,0.22328083950358613,16.6,230.2,321.9,237.3,-87.64598764877456,0.00011261696338778576,9.413544437691986,0.10868664614240271,244.2,341.0,411.8,872.0,595.5,884.6
0,gomez,iso,kws,0.8,0.9,40.15219573303695,0.00023217930851266577,2.032372897562621,0.07697018947985929,16.2,160.0,254.2,169.7,-87.78108912118513,9.271148306454542e-05,0.06714851396631762,0.013188341023378647,238.3,344.2,319.5,679.3,406.6,582.7
1,gomez,iso,kws,1.0,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
2,gomez,iso,kws,1.2,0.9,40.152195868621654,0.00023217941372246647,2.173170214958083,0.07697014203763006,16.2,160.0,237.6,169.7,-87.78108903053486,9.271149470654765e-05,0.06547755584067666,0.01318834491184647,238.3,344.2,319.5,679.3,379.0,536.7
