,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
5,control,dyn,rs,1.2,1.05,38.25414226943149,0.0006501064689996329,2.8038437897116295,0.21733316327369576,22.1,52.5,126.5,38.6,-87.9814762326939,7.611526492046694e-05,0.07236800939508228,0.009628867081800914,189.4,260.7,133.0,337.1,296.2,458.8
6,control,dyn,rs,0.8,1.1,38.23075907120162,0.000667844776211835,3.2215330271258233,0.2195728800846889,22.1,50.8,114.9,38.2,-87.98076964366244,7.664774075260602e-05,0.12344051217068137,0.015887371034993884,189.3,260.6,130.4,325.0,255.7,366.5
7,control,dyn,rs,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,rs,1.2,1.1,38.23065031993121,0.0006551890774190351,3.0746111511634333,0.22475624140351663,21.7,53.1,126.1,31.0,-87.9825835770372,7.547350076781528e-05,0.12113518916366871,0.011877951343474608,189.3,260.9,133.6,338.0,301.0,462.2
0,control,dyn,rw,0.8,1.0,38.28155998016895,0.0006478387930523421,2.635378439022255,0.21285503159311486,22.3,51.8,125.8,40.1,-87.98082985541822,7.64991257714208e-05,0.04687019143668451,0.008245930258409013,189.4,260.6,132.3,336.1,288.4,448.0
1,control,dyn,rw,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,rw,1.2,1.0,38.28159099007965,0.0006546962562145182,2.737645268843465,0.2113772176183343,22.4,50.9,118.9,40.1,-87.98046236749198,7.673006615214353e-05,0.04694325311395107,0.008407843641801646,189.3,260.5,130.6,332.1,259.7,377.7
3,control,dyn,rw,0.8,1.05,38.25524713408782,0.0006508861942490863,2.813264885796363,0.21677581553839884,22.1,52.3,125.6,39.0,-87.98131469148619,7.622410083262536e-05,0.0724288579130595,0.009959702567251023,189.3,260.7,132.8,336.6,291.5,450.2
4,control,dyn,rw,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,rw,1.2,1.05,38.254860613008994,0.0006584377909557888,2.9176212217166246,0.21510761560561842,22.3,51.2,118.6,39.2,-87.98068602389962,7.66485155996506e-05,0.07288873338254025,0.011131281903685147,189.3,260.6,130.9,330.9,262.2,379.9
