,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
324,324,iso,gomez,azimilide,220.9,263.0,296.2,384.3,163.4,121.3,88.10000000000002,466.9,672.9,790.7,219.2,479.1,299.4,1.1150445837372194,9.760947949330811,240.34681133509304,-87.74074994801207,40.24652042563388,9.887950477805734e-05,0.0002079785422143,0.0001090990374363,8.645903365593593,False,False,False,5.067272908396163,high
325,325,iso,gomez,azimilide,220.7,262.9,296.2,384.5,163.8,121.60000000000002,88.30000000000001,463.8,667.9,785.8,168.9,377.1,271.0,0.1133330620307175,3.4836380610907614,240.4257559963043,-87.7436455615204,40.25410212748444,9.844748637377975e-05,0.0002093832261876,0.0001109357398138,3.370304999060044,False,False,False,4.759798138189126,high
326,326,iso,gomez,azimilide,221.3,263.3,296.3,384.1,162.8,120.8,87.80000000000001,472.6,681.2,798.5,175.9,389.6,288.1,0.1578008942941638,4.265729456568434,240.22303251906547,-87.73626669304753,40.23998165674767,9.955065951291771e-05,0.0002056433910668,0.0001060927315539,4.10792856227427,False,False,False,5.3406858655595855,high
327,327,iso,gomez,azimilide,220.5,262.6,296.0,384.2,163.7,121.59999999999997,88.19999999999999,458.7,665.5,784.7,204.6,451.9,296.4,0.9591896546839942,12.548059213774716,240.3619922147899,-87.74079714755169,40.224928720804186,9.883246524958231e-05,0.0002103188534732,0.0001114863882236,11.58886955909072,False,False,False,6.228991422876263,high
328,328,iso,gomez,azimilide,224.9,266.0,297.2,381.7,156.79999999999998,115.7,84.5,532.1,760.1,865.8,223.4,496.6,319.6,1.0686089854773229,9.611138519439454,238.03789457512136,-87.6569266883654,40.12810101143651,0.0001108522956679,0.0001821961023775,7.134380670960397e-05,8.542529533962131,False,False,False,9.583928241341674,high
329,329,iso,gomez,azimilide,222.8,264.4,296.7,383.0,160.2,118.60000000000002,86.30000000000001,498.5,718.6,832.4,220.8,482.0,318.3,0.8763561419491335,8.949994323485539,239.4406541493489,-87.70758299109856,40.18909090500963,0.000103738979806,0.0001949888369147,9.124985710873924e-05,8.073638181536406,False,False,False,7.316471386530921,high
330,330,iso,gomez,azimilide,220.6,262.8,296.1,384.5,163.9,121.7,88.39999999999998,461.5,664.6,782.6,171.9,386.4,265.6,0.2577503957251245,7.13277312798957,240.4661186353548,-87.745076968339,40.25489192675593,9.822948989930878e-05,0.0002103342472067,0.0001121047573074,6.875022732264446,False,False,False,4.716660317117174,high
331,331,iso,gomez,azimilide,220.4,262.6,296.0,384.5,164.1,121.89999999999998,88.5,458.1,660.5,778.8,174.7,376.0,292.2,0.3135462790393693,8.594969763651294,240.50313876721216,-87.74630566930907,40.25115347649243,9.803541386783716e-05,0.0002115717141593,0.0001135363002914,8.281423484611924,False,False,False,4.86776307940098,high
332,332,iso,gomez,azimilide,221.2,263.2,296.2,383.9,162.7,120.7,87.69999999999999,471.5,681.9,799.7,189.9,422.5,296.7,0.2404090257131015,5.359068381382255,240.16294645110088,-87.73384608027763,40.222027384858805,9.989164763129422e-05,0.0002055345757176,0.0001056429280863,5.118659355669154,False,False,False,6.107470228994785,high
333,333,iso,gomez,azimilide,222.5,264.2,296.5,383.0,160.5,118.8,86.5,493.1,713.8,828.8,205.4,475.8,283.9,0.742034448822355,7.726102384027142,239.47979318467736,-87.70877120551157,40.1753463758189,0.0001035470423364,0.0001963426321405,9.279558980412494e-05,6.984067935204787,False,False,False,7.98468611322982,high
334,334,iso,gomez,azimilide,224.2,265.4,297.0,382.2,158.0,116.8,85.19999999999999,520.5,746.5,855.3,263.4,532.2,343.3,7.150269167796501,35.34958250646713,238.59171868598867,-87.67677376846535,40.150186371972055,0.0001081064516502,0.0001865789044416,7.84724527914791e-05,28.199313338670628,False,False,False,8.75127873677139,high
335,335,iso,gomez,azimilide,222.6,264.2,296.6,383.2,160.6,119.0,86.59999999999997,494.1,713.1,827.8,201.3,474.0,272.1,0.6918219312365478,7.4478013758578525,239.5571335953009,-87.71178540477207,40.191186673491394,0.0001031281754816,0.0001965666774229,9.343850194123502e-05,6.755979444621305,False,False,False,7.254456294377896,high
336,336,iso,gomez,azimilide,223.3,264.8,296.8,382.7,159.39999999999998,117.89999999999998,85.89999999999998,506.2,728.7,840.9,229.7,502.0,313.0,2.0232975597776943,15.720705220297464,239.16399092780807,-87.69748689763392,40.17456968765445,0.0001051837979658,0.0001920031497651,8.681935179932207e-05,13.697407660519769,False,False,False,7.856570723223406,high
337,337,iso,gomez,azimilide,220.1,262.3,296.0,384.8,164.70000000000002,122.5,88.80000000000001,452.0,650.2,768.3,194.0,437.1,265.3,0.5282031137501325,6.970720762946257,240.6468491619584,-87.75156120735244,40.26691159034492,9.724478396840006e-05,0.0002144846299603,0.0001172398459919,6.442517649196125,False,False,False,4.191508454315539,high
338,338,iso,gomez,azimilide,223.8,265.2,296.9,382.4,158.59999999999997,117.2,85.5,514.8,739.8,850.1,227.9,502.5,311.9,1.931312738490315,15.569273042502395,238.81281362114436,-87.684729171611,40.1571441183401,0.0001069886911774,0.0001886342159894,8.16455248119346e-05,13.63796030401208,False,False,False,8.500228415333638,high
339,339,iso,gomez,azimilide,221.0,263.1,296.2,384.3,163.3,121.2,88.10000000000002,468.3,674.8,792.4,180.9,413.3,266.9,0.4297189170694886,8.034328611405087,240.3247693001365,-87.73997787801713,40.24711958379165,9.899748497495957e-05,0.0002074426420089,0.0001084451570339,7.604609694335599,False,False,False,5.049928039306273,high
340,340,iso,gomez,azimilide,224.0,265.3,297.0,382.2,158.2,116.89999999999998,85.19999999999999,517.4,743.2,852.8,236.6,507.9,326.3,2.106603786694353,15.04499218329628,238.68551489682147,-87.68010742215287,40.14956965747042,0.0001076354825479,0.000187566943477,7.99314609290633e-05,12.938388396601926,False,False,False,8.785274431861716,high
341,341,iso,gomez,azimilide,222.2,263.9,296.5,383.4,161.2,119.5,86.89999999999998,487.3,704.4,820.2,254.8,541.1,299.2,3.969082346012107,17.093667183089085,239.7379053407364,-87.71833344391482,40.19718729765364,0.000102172931597,0.0001990973406477,9.692440905065643e-05,13.124584837076975,False,False,False,7.060957549526002,high
