,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,clarithromycin,167.9,190.3,208.3,262.0,94.1,71.69999999999999,53.69999999999999,182.5,281.6,343.5,155.6,299.5,118.4,0.05071657746701122,2.8192756506696357,256.763677640291,-87.98031694593261,38.292007140114016,7.672116194521386e-05,0.00063526242608435,0.0005585412641391362,2.7685590732026246,True,True,False,492.0207152116985
1,dyn,control,clarithromycin,167.6,189.9,207.9,261.4,93.79999999999998,71.49999999999997,53.49999999999997,174.9,269.3,327.8,134.3,262.5,110.3,0.021805322935183793,2.342760436243976,256.8148162719071,-87.98034568533622,38.32141262816174,7.679252744300346e-05,0.0006681903288529694,0.000591397801409966,2.320955113308792,True,True,False,490.7806110681504
2,dyn,control,clarithromycin,167.9,190.3,208.3,262.1,94.20000000000002,71.80000000000001,53.80000000000001,185.8,282.6,343.2,185.7,356.0,162.2,0.10730391769226569,3.0302184865604493,256.7809800997528,-87.98142165969286,38.3177542568005,7.60450934589589e-05,0.0006298042616596466,0.0005537591682006878,2.9229145688681837,True,True,False,491.5425326289609
3,dyn,control,clarithromycin,167.9,190.3,208.3,262.0,94.1,71.69999999999999,53.69999999999999,186.6,282.4,343.1,140.0,288.6,133.0,0.02201332053589828,2.32002663794681,256.7732318607633,-87.98056333228354,38.28775972173695,7.665137184971696e-05,0.0006258142142249156,0.0005491628423751986,2.298013317410912,True,True,False,491.8048356228852
4,dyn,control,clarithromycin,167.8,190.1,208.2,261.9,94.09999999999997,71.79999999999998,53.69999999999999,183.0,276.9,334.9,150.7,277.9,147.0,0.06573418542860919,2.7080458544268504,256.801310054646,-87.98070523000395,38.297715942412275,7.660822714507874e-05,0.0006443033090747755,0.0005676950819296968,2.642311668998241,True,True,False,490.9877801274106
5,dyn,control,clarithromycin,167.9,190.2,208.3,262.0,94.1,71.80000000000001,53.69999999999999,183.6,280.8,341.9,167.2,347.9,122.6,0.027815787866820856,2.2548638914605053,256.784634161618,-87.98097275958492,38.282051050518895,7.640040724399093e-05,0.0006360076016379649,0.000559607194393974,2.227048103593684,True,True,False,491.6438052784007
6,dyn,control,clarithromycin,167.8,190.1,208.2,261.8,94.0,71.70000000000002,53.60000000000002,180.8,276.2,335.1,139.1,262.7,118.7,0.040423416635781376,2.597971500874286,256.79273932383114,-87.9804916904341,38.27979423353286,7.672155544609935e-05,0.0006474324595664853,0.000570710904120386,2.5575480842385043,True,True,False,491.33731184858243
7,dyn,control,clarithromycin,167.6,190.0,208.0,261.6,94.00000000000003,71.60000000000002,53.60000000000002,175.5,270.5,329.1,179.5,341.2,126.9,0.08354582520530494,2.9941386524612392,256.82199615013747,-87.98082820113741,38.32798975918498,7.64724400739845e-05,0.0006696815581287858,0.0005932091180548013,2.9105928272559343,True,True,False,490.52494309850977
8,dyn,control,clarithromycin,168.0,190.4,208.5,262.3,94.30000000000001,71.9,53.80000000000001,187.7,287.1,348.5,182.7,331.2,138.7,0.12214037354452316,3.125273642305666,256.75901666415706,-87.98092235244172,38.26935051022113,7.634449721192486e-05,0.0006222450355238841,0.0005459005383119592,3.0031332687611427,True,True,False,492.1368468108377
9,dyn,control,clarithromycin,168.0,190.5,208.5,262.2,94.19999999999999,71.69999999999999,53.69999999999999,184.6,286.4,349.0,170.8,309.0,112.0,0.11395802962717982,3.001117165717981,256.7404619753721,-87.980263414187,38.276798441400885,7.671429557664721e-05,0.0006255439828121578,0.0005488296872355106,2.8871591360908013,True,True,False,492.5476553672929
10,dyn,control,clarithromycin,168.1,190.6,208.6,262.4,94.29999999999998,71.79999999999998,53.79999999999998,187.9,289.6,351.7,170.0,297.8,122.8,0.14134228392169007,3.2439843878966292,256.7323635822096,-87.98033877409378,38.26534856712138,7.667698884889992e-05,0.000616422476840693,0.000539745487991793,3.1026421039749392,True,True,False,492.70619758526846
11,dyn,control,clarithromycin,168.7,191.1,209.1,263.1,94.40000000000003,72.00000000000003,54.00000000000003,202.9,310.1,374.5,157.0,292.8,118.5,0.05968113668908705,2.6096375064978905,256.6522160790531,-87.98020414185923,38.19663052280229,7.67220173120741e-05,0.000565533510300586,0.0004888114929885119,2.5499563698088035,True,True,False,494.6869481314212
12,dyn,control,clarithromycin,168.1,190.5,208.5,262.3,94.20000000000002,71.80000000000001,53.80000000000001,188.5,287.7,349.3,154.3,292.3,122.7,0.0559939969909602,2.7201381969582186,256.7506159898703,-87.98060713420449,38.24739308259182,7.66133465455447e-05,0.0006179025900993748,0.0005412892435538301,2.664144199967258,True,True,False,492.4114111090189
13,dyn,control,clarithromycin,167.5,189.8,207.8,261.3,93.80000000000001,71.5,53.5,171.7,265.1,322.7,146.5,272.7,113.7,0.0544822990300681,2.8529313692783784,256.83673724833443,-87.98048034812258,38.33627339328702,7.67385647186648e-05,0.0006851285575849033,0.0006083899928662385,2.7984490702483105,True,True,False,490.1390138210961
14,dyn,control,clarithromycin,168.1,190.6,208.6,262.5,94.4,71.9,53.900000000000006,191.0,291.8,354.0,179.4,323.1,137.4,0.1308253087196197,3.0185696732190284,256.7377222435887,-87.98075421486615,38.255743959158096,7.645331778473845e-05,0.0006092510325491507,0.0005327977147644122,2.8877443644994085,True,True,False,492.6338550187662
