,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,ibutilide,272.2,336.0,417.7,618.9,346.7,282.9,201.2,226.2,525.6,634.5,123.3,271.4,149.7,0.0617418960897514,36.10840526280285,252.9448014927903,-87.98426195060631,40.78856659428201,7.611112900561693e-05,0.0004852613340772,0.0004091502050716,36.0466633667131,False,False,False,46.70925694706972,high
1,1,iso,control,ibutilide,270.0,334.2,414.6,612.9,342.9,278.7,198.29999999999995,204.6,388.3,596.9,105.0,227.6,133.1,0.0224224853705957,19.62723489347188,253.14681902204512,-87.98764299769653,40.89847809465034,7.507288175484243e-05,0.0005432149316544,0.0004681420498996,19.60481240810128,False,False,False,48.26614240640441,high
2,2,iso,control,ibutilide,271.6,335.5,416.8,617.4,345.79999999999995,281.9,200.6,218.1,506.3,622.3,156.4,341.4,206.0,0.1600638983068315,39.38076874751892,253.0063366279786,-87.98538462331625,40.82705040277549,7.575223843545881e-05,0.0005031922336448,0.0004274399952094,39.22070484921209,False,False,False,47.09326745310408,high
3,3,iso,control,ibutilide,271.2,335.2,416.5,616.4,345.2,281.2,199.9,217.7,498.4,618.2,115.8,243.3,170.5,0.0250872413834019,20.896826763356334,253.03935001180065,-87.98603208372737,40.829223992742726,7.554946547548183e-05,0.0005073305690507,0.0004317811035752,20.87173952197293,False,False,False,47.32529142251184,high
4,4,iso,control,ibutilide,270.8,334.9,416.1,615.3,344.49999999999994,280.4,199.19999999999996,216.0,484.8,613.1,136.1,279.2,185.5,0.0767155565023756,26.905163684081845,253.073962951058,-87.9866625571828,40.83485643923282,7.535698723419184e-05,0.0005142668248536,0.0004389098376195,26.82844812757947,False,False,False,47.58749945568295,high
5,5,iso,control,ibutilide,271.1,335.2,416.5,616.1,345.0,280.90000000000003,199.6,218.9,497.3,617.9,130.4,297.4,153.3,0.0347913400501308,18.385224025179816,253.0493233944657,-87.98627088074849,40.82050960542404,7.547534029005664e-05,0.0005067652768497,0.0004312899365597,18.35043268512969,False,False,False,47.39220358138082,high
6,6,iso,control,ibutilide,271.2,335.3,416.7,616.4,345.2,281.1,199.7,221.4,503.3,620.8,117.9,250.8,147.9,0.0446397980145765,25.049105172179534,253.0387445635044,-87.98614305858875,40.806514067651335,7.551395484983373e-05,0.0005019169682035,0.0004264030133537,25.00446537416496,False,False,False,47.30599820962522,high
7,7,iso,control,ibutilide,270.5,334.6,415.5,614.4,343.9,279.79999999999995,198.9,211.3,455.7,606.7,135.0,306.0,155.1,0.1042288655911169,36.31493657346099,253.1015814231712,-87.98703532336893,40.86113237622154,7.524736698083098e-05,0.0005253649343396,0.0004501175673588,36.21070770786987,False,False,False,47.83134404437916,high
8,8,iso,control,ibutilide,273.1,336.7,418.9,620.9,347.79999999999995,284.2,202.0,242.2,551.1,654.8,164.3,399.4,176.6,0.1990145222454473,43.45352671585318,252.85042260638437,-87.9824524956727,40.71815384411791,7.67106335273972e-05,0.0004572729429103,0.0003805623093829,43.25451219360773,False,False,False,46.2448648158861,high
9,9,iso,control,ibutilide,273.6,337.1,419.3,621.8,348.19999999999993,284.69999999999993,202.49999999999997,246.5,559.5,662.9,150.0,390.3,139.3,0.2039457120058483,38.8266221879166,252.7973205235604,-87.98117641203393,40.70190066799257,7.714365701337105e-05,0.0004484525011792,0.0003713088441659,38.62267647591075,False,False,False,46.03914112729069,high
